"","GeneSymbol","GeneMappingID","Group","EntrezID","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"1","A2M",113,"Novel","2",NA,"LRP1, IL1B",2,"IL1B",1,NA,0,NA,0,"IL1B",1,NA,0,NA,0,1
"2","ACACB",133,"Novel","32","Propanoate metabolism","UBQLN4, OASL, RRAGA, SUN1, SPAG4, E2F3, ISG15, UBC, RPS27A, UBB",10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"3","ACIN1",146,"Spliceosome","22985","Spliceosome ; RNA transport","SRPK2, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"4","ACTA2",132,"Novel","59",NA,"CFL1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"5","ADRB2",180,"Novel","154","Endocytosis","ADRBK1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"6","ADRBK1",341,"Novel","156","Chemokine signaling pathway ; Endocytosis","UBC, ADRB2, GIT1",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"7","AHRR",415,"Novel","57491",NA,"ARNT",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"8","AIRE",318,"Novel","326",NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"9","ALAS1",376,"Novel","211",NA,"POLD4, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"10","ALCAM",381,"Novel","214","Cell adhesion molecules (CAMs)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"11","ALDH3A2",409,"Novel","224","Lysine degradation ; Propanoate metabolism ; beta-Alanine metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"12","ANKRD32",380,"Novel","84250",NA,"POLE",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"13","APOB",277,"Novel","338",NA,"LDLR, CALCR, UBC, CALR, HSPA5, HSP90B1, VCP",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"14","ARHGAP32",366,"Novel","9743",NA,"CDC42",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"15","ARHGDIB",293,"Novel","397","Vasopressin-regulated water reabsorption ; Neurotrophin signaling pathway","CDC42",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"16","ARHGEF6",348,"Novel","9459","Regulation of actin cytoskeleton ; Pancreatic cancer","GIT1, CDC42",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"17","ARNT",200,"Novel","405","Renal cell carcinoma","NPAS4, SIM1, AHRR, PTGES3, EPAS1",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"18","ARPC1B",246,"Novel","10095","Regulation of actin cytoskeleton ; Fc gamma R-mediated phagocytosis ; Shigellosis ; Bacterial invasion of epithelial cells ; Pathogenic Escherichia coli infection","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"19","ASAP1",323,"Novel","50807","Endocytosis ; Fc gamma R-mediated phagocytosis","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"20","ASAP2",262,"Novel","8853","Endocytosis ; Fc gamma R-mediated phagocytosis","PXN, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
